id,user_query,function_calls
21,오늘 미션 뭐야? 그리고 이번 주 몇 번 했는지 궁금해!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
22,이번 주 내가 얼마나 했는지 알려주고 오늘 미션도 보여줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
23,오늘 미션이 뭐지? 요즘 몇 번 했는지도 알고 싶어ㅎㅎ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
24,"오늘 한 미션 뭐고, 이번 주 내가 성공한 거 몇 번인지 알려줘!","[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
25,오늘 미션있어? 그리고 이번 주 내 기록도 좀 알고 싶어ㅠ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
26,오늘 미션은 뭐야? 이번 주 내가 얼마나 했는지 확인해줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
27,오늘 어떤 미션인지 궁금하고 이번 주 내가 성공한 건 몇 번인지 좀 알려줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
28,오늘 미션 뭐야? 그리고 이번 달에 몇 번 성공했는지 알려줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
29,이번 주 미션 뭐야? 그리고 내가 몇 번 했는지 보고 싶어ㅠ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
30,"오늘 미션 확인하고 싶은데, 이번 달에 내가 얼마나 했는지도 알고 싶어ㅎㅎ","[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
31,오늘 미션 알려줘! 그리고 내가 이번 주 몇 번 했는지 궁금해,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
32,오늘 미션 뭐야? 나 이번 달 기록도 좀 확인해볼래,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
33,오늘의 미션 보여줘! 그리고 지난 주 성공한 거 몇 번인지 알려줘,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
34,오늘 미션 알려줘! 그리고 이번 달에 다 했는지 기록도 확인해줘요,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
35,오늘 미션 다 했어ㅎㅎ 그리고 이번 주 몇 번 했는지도 알고 싶어,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
36,오늘 다 끝냈어요!! 이번 주 기록도 보여줘요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
37,다 해냈다!! 근데 이번 주 몇 번 한 건지 확인해줄래?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
38,미션 다 했음ㅋㅋ 이번 주 기록 좀 보여줘,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
39,완전 다 했어 ㅎㅎ 이번 주 몇 번 했는지도 궁금해,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
40,오늘 다 했어 근데 이번 주 몇 번인지 알려줘!!,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
41,오늘 미션 반만 했는데 이번 주 몇 번 했는지 궁금해요ㅠ,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
42,미션 못 했고 이번 주 기록도 좀 보여줘요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
