id,user_query,function_name,arguments,ambiguous
60,오늘 미션 다 했어ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",
61,미션 완료했으니 제출할게!,submit_mission_result,"{""result_type"": ""success""}",
62,완전 잘 해냈다!!,submit_mission_result,"{""result_type"": ""success""}",
63,다 했으니까 인정해줘,submit_mission_result,"{""result_type"": ""success""}",
64,너무 재밌어서 쉽게 끝났어ㅋㅋ,submit_mission_result,"{""result_type"": ""success""}","The utterance expresses enjoyment but does not explicitly convey a clear mission result, leaving room for interpretation."
65,이번엔 정말 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",
66,오늘도 성공적으로 끝냈당,submit_mission_result,"{""result_type"": ""success""}",
67,이번 주 미션 다 했어 ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",
68,다 해냈으니 제출할게요!,submit_mission_result,"{""result_type"": ""success""}",
69,어렵지 않아서 금방 끝났어!,submit_mission_result,"{""result_type"": ""success""}",
70,다 했어 ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}","The utterance '다 했어 ㅎㅎ' indicates completion, which aligns with success but lacks explicit clarity on the result type."
71,미션 완벽히 끝냈음!!,submit_mission_result,"{""result_type"": ""success""}",
72,오늘도 성공적으로 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",
73,이번엔 다 끝냈다구요!,submit_mission_result,"{""result_type"": ""success""}",
74,완전 다 했어요ㅋ,submit_mission_result,"{""result_type"": ""success""}",
75,이번 미션 다 함!!,submit_mission_result,"{""result_type"": ""success""}",
76,아주 잘했음ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",The utterance suggests a positive outcome but does not explicitly confirm the mission result as 'success'; could also imply other interpretations.
77,미션 완수했어요!,submit_mission_result,"{""result_type"": ""success""}",
78,끝까지 다 해냈어!!,submit_mission_result,"{""result_type"": ""success""}",
79,할 거 다 해서 제출할게요!,submit_mission_result,"{""result_type"": ""success""}",
80,완료했어요!,submit_mission_result,"{""result_type"": ""success""}",
81,미션 다 해냈다!!,submit_mission_result,"{""result_type"": ""success""}",
82,오늘 다 끝냈어ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}","The phrase '오늘 다 끝냈어ㅎㅎ' suggests completion, which could imply a 'success' result for submitting a mission. However, it does not explicitly state the nature of the result or clearly indicate that it is specifically about submitting a mission result."
83,할 거 다 함ㅋ,submit_mission_result,"{""result_type"": ""success""}",manual_promoted_from_rejected
84,완벽하게 했어요!,submit_mission_result,"{""result_type"": ""success""}",
85,모든 미션을 완료했어!,submit_mission_result,"{""result_type"": ""success""}",
86,"쌤, 다 했어요!",submit_mission_result,"{""result_type"": ""success""}",
87,이번에 진짜 다 했어!!,submit_mission_result,"{""result_type"": ""success""}",
88,미션 완수 완료!!,submit_mission_result,"{""result_type"": ""success""}",
89,완전 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",
90,다 했어!!,submit_mission_result,"{""result_type"": ""success""}","The utterance suggests completion but lacks specifics about the success of the mission, creating potential ambiguity."
