id,user_query,function_name,arguments,generation_round
60,오늘 미션 다 했어ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",0
61,미션 완료했으니 제출할게!,submit_mission_result,"{""result_type"": ""success""}",0
62,완전 잘 해냈다!!,submit_mission_result,"{""result_type"": ""success""}",0
63,다 했으니까 인정해줘,submit_mission_result,"{""result_type"": ""success""}",0
64,너무 재밌어서 쉽게 끝났어ㅋㅋ,submit_mission_result,"{""result_type"": ""success""}",0
65,이번엔 정말 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",0
66,오늘도 성공적으로 끝냈당,submit_mission_result,"{""result_type"": ""success""}",0
67,이번 주 미션 다 했어 ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",0
68,다 해냈으니 제출할게요!,submit_mission_result,"{""result_type"": ""success""}",0
69,어렵지 않아서 금방 끝났어!,submit_mission_result,"{""result_type"": ""success""}",0
70,다 했어 ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",1
71,미션 완벽히 끝냈음!!,submit_mission_result,"{""result_type"": ""success""}",1
72,오늘도 성공적으로 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",1
73,이번엔 다 끝냈다구요!,submit_mission_result,"{""result_type"": ""success""}",1
74,완전 다 했어요ㅋ,submit_mission_result,"{""result_type"": ""success""}",1
75,이번 미션 다 함!!,submit_mission_result,"{""result_type"": ""success""}",1
76,아주 잘했음ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",1
77,미션 완수했어요!,submit_mission_result,"{""result_type"": ""success""}",1
78,끝까지 다 해냈어!!,submit_mission_result,"{""result_type"": ""success""}",1
79,할 거 다 해서 제출할게요!,submit_mission_result,"{""result_type"": ""success""}",1
80,완료했어요!,submit_mission_result,"{""result_type"": ""success""}",2
81,미션 다 해냈다!!,submit_mission_result,"{""result_type"": ""success""}",2
82,오늘 다 끝냈어ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",2
83,할 거 다 함ㅋ,submit_mission_result,"{""result_type"": ""success""}",2
84,완벽하게 했어요!,submit_mission_result,"{""result_type"": ""success""}",2
85,모든 미션을 완료했어!,submit_mission_result,"{""result_type"": ""success""}",2
86,"쌤, 다 했어요!",submit_mission_result,"{""result_type"": ""success""}",2
87,이번에 진짜 다 했어!!,submit_mission_result,"{""result_type"": ""success""}",2
88,미션 완수 완료!!,submit_mission_result,"{""result_type"": ""success""}",2
89,완전 다 해냈어!,submit_mission_result,"{""result_type"": ""success""}",2
90,다 했어!!,submit_mission_result,"{""result_type"": ""success""}",3
91,완전 끝냈다 ㅎㅎ,submit_mission_result,"{""result_type"": ""success""}",3
92,이번에 진짜 다 해냈어!!,submit_mission_result,"{""result_type"": ""success""}",3
93,오늘 미션 다 하지 못했어ㅠ,submit_mission_result,"{""result_type"": ""fail""}",0
94,미션 반만 했거든ㅠㅠ,submit_mission_result,"{""result_type"": ""fail""}",0
95,"아직 다 못 했어, 패스할게",submit_mission_result,"{""result_type"": ""fail""}",0
96,너무 바빠서 오늘은 못 한듯,submit_mission_result,"{""result_type"": ""fail""}",0
97,이번 미션은 실패야ㅠ,submit_mission_result,"{""result_type"": ""fail""}",0
98,"아파서 못 했어, 그거 내줘",submit_mission_result,"{""result_type"": ""fail""}",0
99,오늘은 그냥 패스할게,submit_mission_result,"{""result_type"": ""fail""}",0
100,한 시간 해봤는데 다 못 했어,submit_mission_result,"{""result_type"": ""fail""}",0
101,"완전 못 했어, 다음에 할게",submit_mission_result,"{""result_type"": ""fail""}",0
102,거의 다 했는데 마무리를 못 했어ㅠ,submit_mission_result,"{""result_type"": ""fail""}",0
103,오늘은 못 했어ㅠ,submit_mission_result,"{""result_type"": ""fail""}",1
104,"아, 오늘 그냥 넘 힘들어",submit_mission_result,"{""result_type"": ""fail""}",1
105,미션 반만 했어ㅠ,submit_mission_result,"{""result_type"": ""fail""}",1
106,오늘은 시간 없어서 걍 패스할게,submit_mission_result,"{""result_type"": ""fail""}",1
107,거의 다 했는데 마지막에 실패했어,submit_mission_result,"{""result_type"": ""fail""}",1
108,너무 어려워서 못 했어ㅠㅠ,submit_mission_result,"{""result_type"": ""fail""}",1
